Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,tournament,0.1,3153612602,[49.91541912080854; 59.61881312119027; -83.86392774253099; 75.00660496007566; 26.56991578052721; -61.2397028685844; 18.713364222804316; 45.90102944475254; 13.270833290226818; 73.57458357420197; -72.61970977948616; 62.52518827169905; 80.1840309960628; -66.45514016262533; 44.05291949812329; -69.42919208079843; -15.844838532844705; 76.79192765229573; 53.8595921499915; 45.534283408331845],6792308.18097886
F12014,one_point,tournament,0.1,3127818215,[-59.446594680471335; -11.900664473959125; -36.12382639683951; 16.882820122010898; 94.20152356311007; -57.71590313880741; -52.72985733963971; 22.198853868980933; 81.57284122855518; 71.41835270738181; -60.17624564612447; 66.13267423465808; 88.33485002369451; -75.04008064669073; 43.80032179647003; -80.4508309117427; -10.171647480870476; 54.826989542245286; 65.33318291905553; 96.87368621868399],8300341.130635999
F12014,one_point,tournament,0.1,2067539627,[11.82369615583059; 23.815826844180137; -41.901089041627415; -31.074939104424004; -89.51970033692868; -75.3010605080207; -6.856648036291489; -55.685958238605295; 17.675407208115004; 99.53136802099175; -30.231229474764774; 78.05102839392353; 32.296908342571186; -85.74908757047544; 35.966411765427864; 62.2978915959028; -12.34653426551526; 59.05398286944407; -79.86698544981823; 92.02916866532479],11241024.386230439
F12014,one_point,tournament,0.1,3763092201,[14.100589794665638; 64.04950973482522; -59.088423327865435; 74.16352786213304; -18.478379734601646; -92.09723897636069; 55.1821678241609; -72.60748016533263; 61.55968827401452; 51.67072848682787; -51.00900446243497; 79.60715096294962; 29.866166325417083; -92.44109815693531; 41.57900896099699; 39.14011589053467; -10.658012358589815; 66.26901790527319; -56.42738663105993; 74.16549128081621],7130830.128889831
F12014,one_point,tournament,0.1,1409406925,[-49.44796947661201; 50.37831471142081; -81.23346183286856; 33.509020253650334; 14.09150133839428; -59.70848681348559; -27.34387996703076; 13.284423290395338; 84.18490650540883; 86.77038223365753; -62.597034689477546; 58.9793079568511; 68.05183171740745; -28.114327421306683; 44.892467536904235; -47.187782094345465; -12.171613078777341; 74.59794310129439; 43.7400435692324; 49.63071264677444],6459590.394807773
F12014,one_point,tournament,0.1,2805749153,[7.12228917888136; 49.575154043132585; -75.51698801551973; 15.351205314110118; -9.483836858783974; -55.70265804343111; -23.172471985950267; -61.61402042780393; 81.49895266787865; 68.48855497561641; -48.528002181395905; 60.90977925243038; 84.56290973699106; -44.16111907169664; 42.19534938258619; -66.88428627090433; -10.187815574776394; 74.81929095433873; 54.33527005160943; 58.10839508938409],8298718.498949378
F12014,one_point,tournament,0.1,1670923001,[-41.251424221554636; 13.214995901520993; -73.33880693844321; 1.6162922558630584; -36.15619813034168; -74.25878070668313; -79.64694757614413; -89.56511260399829; 81.85851229053239; 66.88228748866504; -74.71605739755691; 67.93517893179822; 63.81337098816894; -19.972575708965223; 49.701791199813044; -61.500960547931726; -15.316133540670734; 72.69521889377108; 56.32436762599079; 54.17878395688311],8485946.568438478
F12014,one_point,tournament,0.1,1233575925,[-99.07594662366606; 23.952752593540794; -83.44594269275507; -67.20327887916076; 77.54871516586701; -82.43848464823526; -59.31817210061996; 26.755836402516778; 99.94969597460346; 67.43287783664545; -38.79357616685968; 85.02436722053204; 24.465709870994317; -26.19683580195455; 51.79487720872828; 41.448207025384534; -11.019485873672224; 76.03699436212767; -48.82895161456573; 42.717049141256126],7787608.546060276
F12014,one_point,tournament,0.1,3950948685,[-94.69241186352113; 56.04673063517717; -55.04043523765747; -20.83921618943232; -79.53261248423291; -80.84637571085433; -6.520365984140227; 12.584380507964909; 80.44663771870071; 96.89085557786584; -87.21356848969457; 65.82510056270928; 22.322129277942054; -38.953124036478506; 48.699329549426324; 63.1215954293333; -8.460162182543044; 63.603157718233945; -75.67498020635352; 81.32902876568298],8307493.027400508
F12014,one_point,tournament,0.1,2326695917,[-70.04306557370214; 44.834435190693455; -88.44755314212102; -93.5274189028178; 67.54947715488217; -66.30402907718091; -65.37966185985096; -11.005202680315477; 66.56092359158049; 55.30378980170022; -69.24566249580322; 84.89920902122765; 69.9353503417772; -5.289078368346978; 35.93466813219811; -60.718911380648066; -14.985178520485348; 78.50077763984763; 56.162029028350844; 40.009077954864836],8905461.932449587
