Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,arithmetic,roulette,None,2349497512,[-11.521484340092409; 48.38441206468177; -48.60825879808564; 5.694276202385222; 7.435952621942204; -72.01165074920921; -1.87711509069634; -1.99076502091444; 15.097835089644178; 15.595788405039977; -28.038374418279204; 22.785174121810456; 16.864607041008924; -4.648832225576834; 58.154420365019; -5.877491917088573; -0.30487612902148253; 53.61538729443743; 16.681338860529856; 73.77794521583186],227376065.6637323
F12014,arithmetic,roulette,None,867225246,[-5.993894111652269; 13.668867785670468; -22.842182352963533; -46.032882197948624; -3.40743732096458; -57.33380915991785; -11.110505648556918; -4.573360944669; -30.954883983429205; 0.2312958751481684; 16.553297918075174; 49.37621008020443; 42.113138703141644; -29.15049924757632; 19.758912594882524; -16.594398936676576; -9.804096181254897; 48.29987890567119; 21.131375474369015; 98.685200298231],164081852.61062
F12014,arithmetic,roulette,None,1426491525,[36.030570295554504; 1.8240311719265279; -31.648463892585678; -6.445362127967479; 13.980526602460124; -51.4250981727836; -80.62607411960133; 1.6308674871898596; -24.623157423443466; -4.832315941601844; 26.14406934064803; -3.971024971869578; 37.49808383132691; -20.793334673679233; 15.346279696431878; 15.691352398280884; -21.472623302453925; 48.503935452466024; -19.678134353330453; 97.42141162041779],151966162.1432984
F12014,arithmetic,roulette,None,3208236888,[5.179953910050401; 50.00612713411807; -37.28981436811492; 12.996943684845645; -1.3007352401753838; -37.37452106884176; -1.3614193561189267; 56.71732401731174; -4.993137520037539; -14.555980655576997; -8.983632037179037; -5.344332504782663; 39.27723929030704; -6.623486742179365; 7.433194923686912; -1.783299414885259; -3.897870388527335; 55.19051211022487; 9.800923676129226; 97.76594191761001],198485880.82068312
F12014,arithmetic,tournament,0.1,3752728295,[-7.961078715416587; 37.317297903659764; -63.71937076758208; 5.575432499855837; -5.910089674512256; -59.31470658737966; -40.79093649332559; -1.1979649267327592; 28.399988000973494; 52.92264690012439; -34.95218599410858; 69.63937159192318; 65.01764102289661; -27.07352251420543; 43.25443007105342; -11.75488823900572; -12.582136608770359; 68.48485500572892; -3.996617422381492; 68.13909145475901],5532338.8486181125
F12014,arithmetic,tournament,0.1,2328350217,[18.01781289877862; 47.15597712936119; -72.31456114562742; -15.937281632090682; -19.571535780495932; -57.075782651926055; -24.454826660843082; 24.99293344304297; 13.518286540120512; 65.42871650801044; -42.21307625577754; 72.38407195686516; 58.922642317250265; -38.7527766160206; 50.21681565705515; -4.409959728125336; -14.680530396749901; 71.55754172296892; -9.148577209269522; 59.016719874968935],5860704.220231681
F12014,arithmetic,tournament,0.1,2412101851,[21.996094604242842; 59.40655656237549; -61.429721953287526; -40.064530701828936; -7.917820824794243; -55.901475972840636; -19.923376336156235; 23.973505320958225; 23.8976998369302; 33.4928209886484; -39.49740437381582; 84.17671357232405; 55.996858331613275; -26.35356227221595; 48.99887360352078; 9.095916373582849; -13.260489195574468; 67.08439929414217; -22.61883237417519; 72.9623285266276],7544873.256184159
F12014,arithmetic,tournament,0.1,1833866985,[-16.462735845377242; 57.819689326634006; -72.95656515348634; 37.69333213859424; -45.28286440417687; -55.666474778291146; -43.793175600993; -32.73271564264666; 44.50822407615593; 33.857151000052276; -35.172381333367696; 92.7796671148727; 54.82072588399188; -7.331845219936914; 45.49104425808062; 4.333294866482641; -12.73519760003359; 72.56594546863946; -13.358831241227369; 59.37301174770758],9448121.678269614
F12014,arithmetic,tournament,0.1,3348949975,[-3.323435326931352; 61.05667181324011; -61.11444708077021; 16.949318772805306; -21.617850221368368; -66.4799486259205; -45.03566464984048; -57.97708827880055; 25.234816772558716; 49.151231134168356; -65.29097478870914; 71.16862295415214; 63.0036280851176; 8.887860788389945; 46.608538393765365; -20.635465899619764; -14.81706003327606; 66.63699015740906; 5.6559509863596205; 71.81748977813615],4554550.008234533
F12014,arithmetic,tournament,0.1,3852179482,[-44.600019675083786; 28.148190678921882; -68.45098476074452; 1.7019283366663434; 19.10364462381881; -68.78805940596014; -29.372646060475745; 13.127714703466197; 2.190634748899698; 15.110890229966927; -47.02263132745425; 60.858929669309155; 55.28333617049751; -57.44101432947655; 49.40321381808322; -3.803683202028016; -14.70511228820439; 70.8754230798481; -9.016521338099354; 61.01918155031185],7639203.262347216
F12014,arithmetic,tournament,0.1,723565636,[-37.51068180138923; 42.47894903176163; -65.56811918476375; -26.965542516395644; -4.563250968258117; -66.133852902868; -35.462443221724136; 20.610223420361514; 55.18136072428888; 53.14300163241506; -40.286480487103404; 54.08665058365714; 51.58161370778994; -25.111288564454377; 45.65107750226119; 2.2704242302156263; -13.712516573798993; 68.67107007184714; -14.082038341516402; 68.2902993795589],4652735.17464299
F12014,arithmetic,tournament,0.1,2300191106,[15.466159166322424; 45.21446992971874; -66.3504454526379; 14.355474668006508; -35.73920588995572; -61.141422176200685; -33.164179066217606; -8.685988840346642; 43.864156044339495; 67.72716244959122; -52.76220206835199; 84.51956033997132; 57.53075880505141; -16.305913493126454; 48.8064737904475; 2.23751805421123; -11.39342423246921; 68.59667558678775; -17.17592106600959; 65.36740978273745],6252646.1037942385
F12014,arithmetic,tournament,0.1,2179186186,[-64.11907898821823; 35.62855287410165; -61.72293517915922; 3.3529782099621466; -28.679644783757546; -66.46243058327057; -28.178595243955492; 23.83619036757785; 52.19939549889381; 66.45477608577406; -10.08070713457444; 84.2192807968633; 48.63041347566548; -44.5923595826199; 52.433282058962746; 2.126034182636329; -12.913145297066468; 67.77695822768966; -11.469903375088741; 68.91206375124966],7142591.20011448
F12014,arithmetic,tournament,0.1,2280158809,[-5.561128062282046; 43.79383171601768; -71.10705674485516; -29.36587864650484; -45.20679613802456; -68.19154721409942; -22.44904410907619; 16.326762192142994; 13.330120205333692; 56.61032755939955; -26.579326833410466; 67.00621323967917; 54.29337031193902; -42.862099851457884; 49.54157875876166; 9.189738281464026; -11.261604921586926; 71.66872356695984; -23.358833033204125; 60.59048095189932],6601853.1878653485
F12014,arithmetic,tournament,0.2,128895963,[62.257040309562335; 28.378732751107144; -41.60573701394101; 10.102748032223902; 29.55714201330926; -73.05887301492272; -38.075815641991184; 16.549706634044835; 65.99371273000264; 63.92866777584063; -51.167035048744836; 73.63322186239455; 51.20905984910529; -46.58678858833046; 48.01599692837276; -4.073826241817061; -12.372207688898229; 58.73796069416735; -8.40001423778464; 93.26798150798196],639570.4338699271
F12014,arithmetic,tournament,0.2,769312116,[16.70284385532447; 35.39991963064065; -56.6751147412202; 98.25436286954482; -29.0882238780542; -74.1397425953291; -44.541810566114016; 0.6435291682809123; 65.82927992220756; 65.37444787213926; -56.24962158083973; 77.28323571483327; 48.02138369424772; -31.082368807889047; 48.05677789278891; 2.983910497786856; -12.170328359314688; 65.11574723816926; -15.113708455325543; 77.22909177312863],642938.1945946524
F12014,arithmetic,tournament,0.2,1015800997,[14.356515081021367; 50.41361355325485; -44.68479172828086; 38.16879495619852; 31.642807642492755; -78.67267044009647; -30.50491120009267; 6.154503126411002; 57.774272480883006; 70.3291109623703; -49.77140981775234; 72.73295426360245; 45.841583146005284; -26.08703415488543; 48.13195307709709; 0.23257765119665064; -12.397644323606743; 60.26932896041956; -11.815216474292322; 90.13749866348557],558148.0179419023
F12014,arithmetic,tournament,0.2,3362402888,[61.97649319358868; 49.844713110117496; -62.02702912816265; 79.28040314263929; 45.11314429992726; -78.40376386664843; -29.165999819430557; -6.788529328989074; 65.65071284956687; 70.66199929377005; -49.27423117814651; 76.38252184619928; 41.74613711184504; -30.981510243179684; 48.438070433100975; 13.830512750098656; -12.951870968581352; 67.23957424977587; -25.484784570631525; 70.99961309384406],763811.319416292
F12014,arithmetic,tournament,0.2,3173998577,[14.082569062449346; 50.10096964073646; -41.287198458377986; 23.426331359812515; 9.446577771338667; -82.09937892126594; -46.27566167863187; 3.797127325077465; 70.4555371439703; 66.19673345845064; -55.332127990880025; 76.417033146636; 38.25188245749534; -9.465918806093882; 49.387797377639714; 19.441651119031842; -13.154138227889533; 58.725600732019274; -31.030144609112533; 94.0358189991987],826799.1418942787
F12014,arithmetic,tournament,0.2,1600663330,[61.208915250230426; 58.33901146321728; -45.530015429564386; 14.357377018953459; 12.007182578767498; -73.57697024412613; -26.739521486621165; 2.998385170484313; 73.7297906735723; 76.69825701917078; -51.11575474404976; 75.34179935612079; 50.56051798222995; -19.97679930630609; 47.00773594875744; -7.016664890675478; -12.735371396811995; 60.681701990386074; -3.5089945112426135; 89.7444044431293],418897.69514325575
F12014,arithmetic,tournament,0.2,948450305,[37.08258786168716; 46.3130272335457; -40.445995612123; 20.337603136233014; -19.654004932629952; -79.72180635549282; -37.36572081592877; -6.389297888984686; 59.40710913282581; 64.5389940287159; -54.430390111947204; 74.3730012111774; 38.63027492453672; -24.980054426835085; 47.97284891676943; 22.10741561357824; -12.27467895601955; 58.389252105475876; -34.182651106467546; 95.19373104807572],814186.9475345736
F12014,arithmetic,tournament,0.2,3242541870,[-33.17920630758299; 34.04288313970393; -43.84004407177987; 24.518025519888578; -13.095690641152952; -78.14770790455682; -27.23865970025748; 2.4432386792978065; 79.2758304449679; 71.61941175813786; -57.03157886661094; 78.36406663115908; 41.179019388477116; -50.05455601524098; 48.071132566629174; 16.16980684225665; -12.416021347338486; 59.71918499921707; -28.411774130187162; 90.6625011814238],704778.8733945225
F12014,arithmetic,tournament,0.2,4213329840,[-31.14884225366727; 49.806852731298875; -50.554707900935284; 6.247581380961176; -3.726237629673241; -74.4575274637539; -9.351816759983853; -0.02379253805052154; 72.85220843779075; 68.88125977020644; -53.229618870778005; 73.4712620028055; 46.18263975480248; -48.48188537720107; 47.478934402694776; 7.765666976676959; -12.812662193109038; 62.510574597550956; -19.672665078325615; 83.82708357634826],606053.6455253587
F12014,arithmetic,tournament,0.2,622527613,[10.58688238863826; 39.04101702085073; -49.34048807561771; -13.61269224710395; -15.784018010080791; -77.0382438071389; -45.697107821734285; 6.589715429524646; 73.07792345075201; 67.73291366098536; -56.11827762432935; 77.38312479317972; 46.49067357273927; -26.76653325599019; 48.12899280601793; 3.790028235033891; -12.704791171997048; 62.311956684722794; -15.967547511762259; 85.20966137099929],607355.6228947864
F12014,arithmetic,tournament,0.3,3775394126,[1.7617736686834862; 41.069876612448084; -55.4385454156823; 21.280356160333213; 13.140459241672303; -78.72417315817765; -26.543833466138985; -1.2255892393917414; 69.49659137383284; 75.91687169974475; -58.3259329849678; 75.0835591204773; 42.71169461759128; -43.11048844930022; 48.03122598565373; 10.971063811061082; -12.47794742483642; 64.67217719996668; -22.31844343038562; 77.89106570248396],557927.6269460594
F12014,arithmetic,tournament,0.3,22456207,[-35.419016834460784; 48.13551423296153; -45.658829362899326; 56.80329509343696; 34.43682930547564; -72.09317798997331; -23.036032035402194; -2.5408190016034524; 68.14140226212032; 76.82243035233068; -52.49291928652754; 74.9659391746722; 55.86960623921317; -37.047871519684826; 48.664568181979945; -17.62018832891132; -12.012492893676487; 60.55345401873183; 6.133694270123252; 89.45409259354474],237682.2014743549
F12014,arithmetic,tournament,0.3,2772068995,[-46.95967147960618; 47.50775005239257; -54.84560628140217; 33.18584639330938; 31.21383132569133; -74.38349023362434; -25.455588907732846; 6.838035747099211; 70.38631023706064; 72.71204425070938; -53.656683316589394; 73.94954392745211; 53.060607448377596; -33.72322068779783; 47.805973100436724; -13.025698353057415; -12.665374710265136; 64.52573522990635; 1.6452909977411474; 78.92200052095471],246505.06296392897
F12014,arithmetic,tournament,0.3,661797053,[-13.71951797616683; 49.11273507683099; -59.96895313352617; 62.306495460398224; 10.894493771922534; -71.2364482942225; -23.529757737837357; 0.33726865904850456; 64.89878396391848; 75.79065226176633; -53.10441002921078; 72.91729545157688; 59.593877849308114; -35.5315814862033; 47.643767832027834; -30.06965833153498; -12.49145875476742; 66.53700670060744; 19.486212082070818; 73.23113559183895],202876.4146393885
F12014,arithmetic,tournament,0.3,93922573,[61.67729566429506; 52.51734333203423; -55.23828812270543; 20.155556326755043; 31.69064877280719; -76.87302129037195; -26.816174885740097; 15.077692177764021; 61.80619441351607; 74.12322219671393; -56.00183619115078; 73.04231530900121; 44.44775042345489; -26.703208721952816; 47.274121668472645; 10.328795620046073; -12.462769227922784; 64.71138666897374; -22.27315356798377; 78.25083554516345],569367.9738915708
F12014,arithmetic,tournament,0.3,235138425,[-35.283772111447334; 47.136211776196475; -69.93942360594812; 12.429257289329366; 18.937686648728885; -71.84977972884543; -10.53035364380811; 6.880850468721464; 65.24169878543412; 71.97646956703444; -53.5677451274258; 78.03168574328514; 57.153997030158905; -50.387500095825835; 48.1286449561067; -20.941434901095917; -12.46259572224264; 70.816023133996; 9.391022267520881; 61.657509378146344],233392.3503030014
F12014,arithmetic,tournament,0.3,1493137682,[-7.768798101641003; 52.30979200014776; -43.87651603632248; 16.801551431823974; 40.80490806858173; -80.3740958640876; -36.35937577820527; 4.164558759211804; 78.97358395729267; 68.73840371680605; -57.553420030794165; 72.96715361689176; 37.957270070739334; -17.925595425467638; 48.37743772030965; 21.062548338916702; -12.339892124684045; 59.92393377048855; -32.937755170439154; 91.32213774517153],671275.1871212176
F12014,arithmetic,tournament,0.3,3385221332,[-11.163245652645506; 49.75385721871169; -51.01649778592597; 61.961851612269044; 13.990358813324358; -74.1274618958167; -30.626605586877957; 3.411552068207601; 70.80245976730254; 71.2373589882632; -56.43008310836333; 75.96839206110202; 52.47506560719956; -26.57384525547696; 48.408685516352925; -11.895390749445479; -13.106568470378601; 62.979693014495375; 1.0172079367314988; 83.08450595772636],289792.7314685739
F12014,arithmetic,tournament,0.3,172548788,[7.777448817416644; 51.62019863368897; -48.87215728441144; 49.682134639392565; 14.980791164042692; -78.00867409774622; -60.015843103687516; 14.042760067200133; 72.08423141216215; 72.6561749138734; -52.15729049452576; 75.9963376772431; 43.15298807918012; 6.0202168187828775; 48.29067312990187; 9.253865354266184; -12.316323853202926; 62.04643627663359; -20.71444443984597; 85.51501836461304],540316.4778088649
F12014,arithmetic,tournament,0.3,602733301,[-6.6355577912128325; 55.517239337581955; -55.55793079488869; 19.251513286919913; 29.299578572924766; -77.72245912789805; -27.16239098541871; 6.99085979554909; 77.58401435037732; 71.21602288066686; -57.30907434923309; 74.59608047589182; 43.4538880376691; -23.643293513761733; 48.41545432869296; 10.431156303640456; -12.586543780588404; 64.88810687067607; -22.264629622692098; 78.38152156644215],474273.6546383698
F12014,arithmetic,tournament,0.4,4201018905,[-27.62422561294521; 52.34856678479055; -40.50256023811284; 58.08924010865494; 32.82189427096073; -76.24451846726518; -37.13510543868428; -3.30927346671686; 72.70366585780187; 76.95808334634435; -55.877677675365305; 73.58761318060519; 44.73678303467136; -15.938369336688236; 47.77103026438982; 7.705284208132685; -12.426441572267244; 58.44653995335274; -19.175331484957837; 95.01467427812989],471378.48887553025
F12014,arithmetic,tournament,0.4,3138139867,[64.00356328419184; 49.19518478289049; -43.306023101110135; 72.46792300823722; 28.34892732387569; -81.39896447487934; -30.036400535637018; 6.524376004304359; 70.67806194999673; 74.18972724183446; -56.531446204896724; 75.45830006709826; 34.78706147395877; -28.31297173287562; 48.157434861354815; 30.887397396978525; -12.770085556391782; 59.52442373728096; -43.32005753182914; 91.63301289062836],728926.361375188
F12014,arithmetic,tournament,0.4,375834746,[-16.050375562600777; 46.401429685329575; -49.7853467934213; 29.542660646456493; 18.3697056395414; -72.72906467876581; -32.533324763198465; 8.330245136157542; 75.16351565094608; 75.04784790352369; -51.319019589611344; 75.17921137416266; 56.13810314254337; -28.850469711896675; 48.17290364981447; -20.068162713532153; -12.651309039663431; 62.18745720564371; 8.452493464107121; 84.66021542264052],229745.63543687933
F12014,arithmetic,tournament,0.4,821999070,[22.83964364124111; 37.31916442848853; -38.95969455944715; 34.43829125720931; 20.81083476374857; -84.03656219862653; -18.87130432309587; 2.598610095274581; 69.67005378303867; 75.51899591784968; -54.75261990294602; 75.59435675880275; 29.180247034998914; -54.082977293681594; 47.65212687766081; 44.59305618663707; -12.346475824712824; 57.70963473665485; -57.57807156962786; 96.6390547927781],984735.5722528106
F12014,arithmetic,tournament,0.4,3955667598,[-29.797191090717284; 33.09148519224891; -40.42412999000112; 33.94259501296432; 2.993494762651219; -71.55122469115625; -46.058529688056936; 7.302637459377087; 73.54733783842921; 73.15579074264737; -53.047597994078025; 76.09650617392231; 55.82239935228041; -31.09180480390016; 48.217241988493186; -16.152450463897416; -12.6527336569774; 58.30588521560889; 4.67717233024143; 95.24917454609974],328303.19472220907
F12014,arithmetic,tournament,0.4,3206051433,[-30.813064432619882; 40.96793800492591; -37.87776232457414; 44.8331562165414; 34.178678706186716; -74.4953660678036; -29.58979223647838; 10.816646303497308; 69.14287728776816; 76.91257763081092; -55.26764353072352; 76.56687675489268; 50.8817674304762; -38.89447153066152; 48.06192672231418; -8.647765342769453; -12.402474930631689; 57.20877548948333; -2.4276005765681044; 97.85111510214597],315453.17269064835
F12014,arithmetic,tournament,0.4,2305408876,[40.16573226719627; 56.46624231342945; -59.01906369567844; 65.33394986896667; 44.450090536816546; -85.8388399342945; -21.93430871155738; 2.152610585102237; 77.6915177361164; 69.1554190363941; -55.31636009100611; 75.95185248576101; 26.125819113410103; -26.59748135220415; 48.26090805845749; 48.44318492577876; -11.948231311263648; 66.18028180428409; -61.25131127508835; 74.26069489243719],1079638.5000659279
F12014,arithmetic,tournament,0.4,592561874,[55.620984891911654; 50.612778349041356; -79.6648265964501; 46.83939505449822; 13.745817920788033; -74.96863623633475; -31.903572283319306; -0.7221066337953956; 72.17874025582614; 72.90829786747875; -53.69078339497655; 74.48503950785909; 51.46860006540496; -25.87396211050813; 48.13336052808989; -10.003663657325436; -12.553536759563926; 74.97915311430833; -1.1490397098230631; 50.83458312210154],272913.15187610884
F12014,arithmetic,tournament,0.4,1526855947,[-28.028468641763254; 51.33394098875991; -60.217010826529375; 69.29772149916397; 21.87511487925612; -69.79280461138006; -32.74804931684938; 13.912192561162694; 64.71716536710765; 74.71749598652039; -57.689476079060874; 75.79847757558014; 60.806432192525335; -22.723062395087993; 47.508479535439015; -28.801760772275554; -12.7520845201046; 66.73823133949648; 17.69656567707333; 72.94466115558458],143574.02606029424
F12014,arithmetic,tournament,0.4,3312878574,[37.77429585478744; 46.66519975586359; -64.92063985398059; 75.4325495668341; 19.557538685704067; -79.00941172498318; -19.602605223320527; 15.05191109132085; 74.12999257727677; 70.33530158111354; -56.937608374242885; 73.89421377009124; 41.802658329564835; -41.362960646967835; 47.60002173503203; 11.852803302216204; -12.125140424204693; 68.63169318084009; -23.467782374268722; 67.56919897528344],510477.3471603045
F12014,arithmetic,tournament,0.5,3919905611,[22.55607023172372; 34.704696798888946; -55.481573703776306; 52.49156643157705; 3.481677076660792; -78.93099110158386; -24.32140120306368; 11.737394201243786; 77.2360781390592; 76.55718062308341; -55.503234318295156; 74.41037946963121; 42.045978171166624; -52.726850693405694; 47.69398681701264; 12.156330825400257; -12.255411932580078; 64.59957616366816; -24.07756654965401; 78.05404607201389],507071.53039482795
F12014,arithmetic,tournament,0.5,2117321183,[87.19225542337576; 55.978468501118286; -40.361963453105915; 31.571893655614367; 41.22619880888142; -79.53515266708443; -22.862308438847506; 0.5729265392778804; 74.16650304464585; 70.57668535420842; -54.42720987625693; 73.58903437984725; 38.474676280911716; -26.11425744690994; 47.786908895403435; 22.82708593908393; -12.711221409746626; 58.29953906196752; -35.18293103823608; 95.44392738246376],635186.3649278134
F12014,arithmetic,tournament,0.5,3282176115,[-19.901546848682287; 47.054012983520224; -45.26929285790085; 12.33859059587325; 20.723657282297665; -79.22408625688061; -25.94484564724864; 0.15954403623431873; 71.54413254780326; 79.65483103400325; -53.62453671933744; 74.97047898669675; 43.2219987620366; -34.97654323035821; 47.63688443370643; 8.422741330129625; -12.634219818289667; 60.49302418807273; -20.328603717234348; 89.83323883772933],477660.6092568222
F12014,arithmetic,tournament,0.5,3208852388,[-16.007165522104884; 33.85308195496227; -54.10053247739937; 34.92071972215388; 13.703281036548614; -74.1506685040741; -16.1581747889802; 0.6180993958867047; 73.5629975579631; 70.30080725019383; -53.919133096674244; 74.5508820534447; 50.29171431107078; -62.63167946358301; 48.03580007958753; -4.085934967410476; -12.78871710705172; 64.0612276928739; -7.639485441168395; 79.86383052487527],329853.2095481862
F12014,arithmetic,tournament,0.5,2431663861,[78.19334084251803; 53.08097960612646; -57.98011464703943; 35.556553845555015; 47.49227042984022; -72.06049058864839; -41.11783048157638; 12.060974284533454; 72.74231064037215; 76.45493099305608; -55.78919796670266; 74.76782663304668; 56.77161234712875; -11.87733461779656; 47.93329780777535; -21.08957198043212; -12.743260706245511; 65.6782882136598; 10.041583825870756; 75.14439398564608],195403.6905664006
F12014,arithmetic,tournament,0.5,1896996359,[69.52282510886567; 58.54332202525098; -73.91250099981856; 68.70356121401598; 38.585211793363754; -73.2869909633861; -29.15419604155508; 9.062199149709514; 76.77981862607773; 71.98147972630582; -54.838359778311116; 76.62388518660295; 51.78618079195975; -16.186713476069862; 48.408871255493764; -7.323640021238254; -12.508224534889312; 72.48044543826161; -4.5287974711660635; 57.50376860483627],267979.6585168507
F12014,arithmetic,tournament,0.5,1981363831,[32.918493253353745; 51.527445392308245; -49.56904079939714; 61.525411725841195; 9.695582133168031; -76.65951255400584; -10.931169225923789; 5.905055640315084; 70.94672301348602; 76.98033686454811; -53.57664790152222; 75.71414359517124; 47.31941362142044; -44.609847767842716; 48.12325150960244; 0.28100221792163776; -12.448621881430803; 62.22410623051651; -11.898896513081926; 85.09066165960078],330166.9002054578
F12014,arithmetic,tournament,0.5,2010823453,[-15.879950663734888; 51.975605266746896; -63.93479251246599; 20.16738424675483; 35.436926741509104; -75.76319831673726; -44.69184909344381; 8.29845694528151; 70.45541945490184; 74.24663665198837; -54.764025924605875; 76.15033391433926; 47.357084504084696; -9.67911946845464; 47.92419611736862; 0.11134767484449715; -12.332383186364744; 68.31222107124515; -11.385344968799894; 68.5918877653796],376881.93621962686
F12014,arithmetic,tournament,0.5,725823148,[19.613767870767333; 50.774812427323866; -39.42430729403236; 25.410621283557724; 32.94160498491312; -83.18989751409413; -34.99611562062181; 10.60824437333936; 71.78119550514522; 75.89220974393109; -56.69396917853385; 75.67034770451858; 32.01352706600761; -21.21282227430063; 47.89855951488356; 32.71298539217766; -12.371341681420393; 57.87525259293797; -44.45905665066016; 96.2026181775014],846054.5755253432
F12014,arithmetic,tournament,0.5,1235329798,[40.14363041189683; 56.2838899501395; -52.118510484063464; 10.335156679182152; 17.415599805122; -70.86150968867446; -31.902364439537784; 1.3424861222107625; 72.91490257476548; 74.93117158635853; -54.170883671983894; 75.94174655348876; 60.02807728904385; -16.54259641469923; 47.83468292714734; -28.764803520422102; -12.394107444303302; 63.305671536692245; 17.917979216587494; 82.14896831484322],124955.9575704987
F52014,one_point,roulette,None,4253900424,[30.625610509282637; 14.158994091725035; -2.3395351370047592; -97.17612789813248; -11.489223466572113; -24.14694420290479; -59.78190711484152; -45.6033367591939; 43.02158011320819; 27.022330747887025; 4.733037811239043; -62.3399965883435; 12.830955639254341; -99.78251553654631; -19.484012780308973; 44.51049764140595; 66.9413432965035; 57.08443938508151; -80.33657772935858; -29.698350973207496],520.256497652031
F52014,one_point,roulette,None,2727222688,[-29.19898679690631; -14.84183205281515; -98.52557432437582; -79.5256431428721; -17.666041443229858; 62.098595939417606; -49.90322684553106; -55.57283812454186; -40.9922767808468; -84.62940900234884; -2.993161107864964; -66.25674659708294; -66.21497370019364; -0.8224693894532038; 92.22433181430233; 23.094075509153015; 6.884399954109014; -41.99281992002468; 36.111833601124914; -55.6948363707114],520.2344760756018
F52014,one_point,roulette,None,798947780,[8.68408977444129; 48.03090708435863; -18.471996864324836; 49.80550964170135; 57.00680616581741; 37.013161891294374; 94.13655424889521; 13.405305556887896; -58.88748193084241; -62.88428762414513; 0.9223946429351741; 16.728727560245375; -38.273482160806; -50.75767642659941; 34.845067878809886; 93.93392593297597; -94.81441446778067; -59.91543701110016; 52.531370908545654; 39.33576830380565],520.263185627933
F52014,one_point,roulette,None,1505069575,[-62.31187352460383; -41.87670681007454; -24.22864261992565; -90.99921791707332; 3.287440558148333; -59.71559091730736; -4.81715349899045; -69.55033094932341; -58.02033078914659; -5.1763435822606425; 73.9243723105161; 78.64960127647223; 6.310645883393022; 80.15982957239606; -5.6635599020599585; -34.38385649032638; -38.89621583057043; 67.98746306219061; 14.733906746201413; 85.58124903183179],520.2451642723504
F52014,one_point,roulette,None,1441613184,[-72.35441738282742; 11.057691966042938; 65.82810031860254; 90.6454580664236; 44.61961214433106; -3.5375746742167564; -39.746504276922614; -63.57087875009309; -73.96329842194194; 81.34445659961654; 87.97651856668881; -80.30820226411777; -73.42949736625806; -35.819231365742056; -48.6863219089237; 50.63726894256229; 50.04973931672788; -62.04175342211986; 49.89856350984181; 88.82176334072423],520.2915270797239
F52014,one_point,roulette,None,2342888543,[36.62715747327911; 20.99580764101809; -75.77073919693586; -13.521264506082417; -64.90810520148025; 29.425469567283216; 63.36935649091265; -94.65576960376971; -15.932559839566096; -0.15509339242314013; -95.12241685086377; -72.27766423988662; -9.14733356031266; 19.200849328655465; 73.2813098174249; -98.34433474849182; -83.01467166585633; 45.99106830601335; -39.56180427325058; -53.3967163157258],520.2229108578184
F52014,one_point,roulette,None,3223736131,[43.6926510992366; -61.87677920975298; 15.020293418836246; -5.418769932495621; -6.577311637940596; 43.856013677185615; 70.23230120906169; -35.62717919536267; 9.03797474463532; -82.26253542516173; 52.798499510786996; 36.746552555809586; 39.47980989294996; -32.70935663638204; -55.48170043578651; -9.360502649858418; 40.99260359790267; 4.05388224300691; -61.46882822935864; -56.12314755980168],520.2117052061313
F52014,one_point,roulette,None,126548263,[6.7100524683368405; -3.9993180800892674; 6.894326957690652; 83.12611900973303; -65.33128209566503; 41.46890680943747; 45.25256359899262; 32.461187914242515; 15.063177076757924; -79.64311474741336; -3.0438839439528067; -34.298415958126256; -94.46813417598388; -23.81311315714882; -44.87893601127604; 56.96991558387282; -14.991181326451766; -41.93607652072886; 14.846059367702608; -71.00287267423917],520.2147871072816
F52014,one_point,roulette,None,1816788169,[-14.311566679196929; 28.030817551589138; 8.625820181106164; 46.15606243874424; 63.99002982384846; -31.728091664796636; 89.1674651599771; 89.36107831398553; 68.98539726251516; 89.94581479158259; 75.84580396578815; 31.50745652323573; 60.01406529836174; -91.79505306682145; -64.57427807229107; 9.206831905189645; -58.01111402290162; 97.05366177740595; -96.31715167465846; 32.02459830797375],520.2970466598753
F52014,one_point,roulette,None,1345888684,[-30.377089669995215; -32.9505008332589; -36.91413912234574; 76.85158642592418; 13.465497876637329; -73.3839618109039; -37.79989794962473; -22.654576717965554; -68.99886925684874; -45.49275554931644; -73.03243775623183; -66.23722179269453; 67.11288310932403; 57.3177486713127; 55.60056347237045; 58.4233648531106; 6.061619800184957; -67.98769198797828; 80.17662658210719; 18.133202831052444],520.1945715542437
F52014,one_point,tournament,0.1,273714730,[-99.24959992376252; -80.83226662022433; 50.60488884486762; 46.626091201892336; 18.43998257942448; 8.743347549561719; -87.76775182232429; 21.444637036885325; -17.97205421655599; 43.62550382470985; 91.95355189799898; 25.75183809004629; -14.67420578297039; 18.155051046431623; -60.418966241182616; 14.441425961983498; -63.9241782537401; 40.95405093395718; -12.196603282156701; -1.1097416164320464],520.1842215065834
F52014,one_point,tournament,0.1,3920136482,[5.563273953642266; 0.07839877823150232; -14.108021590269871; 57.48580629828129; -90.79351736540747; -15.910549807321871; -66.70190720584914; 14.336105348547918; 84.94049237873827; 35.428080545052296; 76.02349766506461; -45.31985852886542; 52.87359463086375; 30.107970996550335; -32.64190619527072; 7.09703235878068; 79.99819435917075; -18.981480708264087; -61.86429130724487; 86.36300656473918],520.2043979576283
