Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,0.1,3260795272,[-33.13985985990293; 91.35717604845811; -53.31841243969142; 48.024624388101955; -32.731838965136006; 41.97242598732612; 1.5982268420618766; 32.66632156036417; 83.42775522040603; 43.74807359004933],167738886.71230924
F12014,one_point,roulette,0.1,2058050978,[25.39194926782602; 96.04230488858892; -73.33086048590573; 35.32199482857533; 63.12164224729767; -67.62071925409876; 31.760859893931837; 1.440912902509183; 84.44351219065297; 32.794509205979296],139637334.0303298
F12014,one_point,roulette,0.1,151916419,[-2.847890698636533; -6.407231009354916; -86.74121363769768; 21.59965835728113; -70.15845084773173; 7.551336325476399; -41.217390602992765; -61.90971766191786; 68.80545094838604; 40.055266858191885],143608577.70033002
F12014,one_point,roulette,0.1,2863662795,[10.210109537957706; 47.21729637715268; -7.20497174820045; -23.69541199463849; 30.96242017365799; 23.906952256448392; 73.68856657406658; 82.5953859717765; 92.36348779347426; 76.8539725881945],105999416.020979
F12014,one_point,roulette,0.1,229207227,[-54.890965994969655; -34.3497745336973; -33.05687121359635; -80.1353656341592; 41.02296587177295; 32.089748928717995; 25.803093649457537; -13.130871732317175; 75.9184413010203; -22.67112852634385],306573359.49659604
F12014,one_point,roulette,0.1,1657026008,[-14.025612646361225; 46.37325784759244; -19.463726839347032; -72.3397763000639; -38.04794138745882; -65.43748222575252; -39.766722153992376; 34.647599360705215; 74.40420088022591; 15.025678840430288],498052203.8342254
F12014,one_point,roulette,0.1,1915525734,[10.98903490407173; 47.15127100346524; -93.2019723353354; -22.572768301149807; -81.55145619554006; -69.79542557335898; -44.025013309578796; 23.5869851549172; 52.69597686849423; 6.055238825003315],136499770.02782205
F12014,one_point,roulette,0.1,2582190274,[47.582366350039536; 31.30205713661826; -54.57278517259627; -46.81756879426049; 16.920898951023673; 9.521319475703137; -7.470560814056142; -71.403457961366; 68.06371320323657; 99.78865162543366],327673255.34369475
F12014,one_point,roulette,0.1,4135520530,[55.233509628152206; 46.521448851118095; -18.1344305238254; 31.6709020420395; -83.91798364072861; -76.97911598779324; -12.833791843707417; -75.35180405111683; 98.22355166691133; 61.10384595603705],539283608.0074408
F12014,one_point,roulette,0.2,1106408180,[67.56484212148274; 31.279783475629927; -51.228393760299774; -20.903109844183092; -89.17380891983379; -92.76247175647828; 57.28416423720233; -28.511493635329188; 54.70393632611632; 78.57493080087238],288317507.9699827
