Objective function,Crossover,Selection,Tournament percentage,Seed,Algorithm solution,Algorithm fitness
F12014,one_point,roulette,0.1,252202898,[30.17501820286907; 59.749247980682014; -61.90372427538715; -50.22946442261822; -12.744966828720166; -62.36097246725958; -65.28539812434033; 10.751058434170432; 71.8349478349831; 48.35502760803715],3947165.299970229
F12014,one_point,roulette,0.1,2757494314,[40.040553851928934; 7.207984676475704; -79.28700583745629; 74.79647609136595; -55.317392298417985; -83.60992991152558; -74.1405387243634; -9.933711976668008; 58.55951094885717; 45.914295552526795],4772589.548985931
F12014,one_point,roulette,0.1,812099035,[45.791815755433504; 48.79454470807906; -81.89927712731253; -20.44132575568686; -4.608974134040849; -82.90189916056661; -29.381292924260038; -17.12881364412533; 57.02887657128065; 54.799061761584056],1984810.7065096246
F12014,one_point,roulette,0.1,2483019733,[27.685285774477947; 37.40271085380783; -53.04912271805655; 28.379238681094563; 44.67008630134691; -80.58977479533502; -6.079869667701061; 17.868545596918636; 75.20922470025135; 32.70984927575384],9573327.721439924
F12014,one_point,roulette,0.2,1141402501,[42.60149889903076; 72.89594843925528; -87.48513178941721; 97.03875336344626; 79.57403324420048; -64.56007467397453; 30.771864151493787; -27.172792516891263; 54.77831634898607; 63.638341442390356],626253.4296859743
F12014,one_point,roulette,0.2,2407004704,[30.13153903277211; 65.60244031681603; -87.56765740953567; 98.45159261456249; 29.32228951405753; -55.45109356918585; -27.05545585930132; -21.17867144311927; 54.798623032999956; 52.61922828069919],2372650.0443624686
F12014,one_point,roulette,0.2,2235295671,[48.116174781155536; 67.23899036027112; -98.23712121701634; -39.04367560354933; 63.42984429166435; -81.96931002616083; 15.332262566411984; -31.53388434576729; 47.1262761242441; 59.103752280321885],3803943.591476511
F12014,one_point,roulette,0.2,3132381243,[39.546832549631006; 62.611777164167336; -32.36129923022111; 65.45782268388047; 10.970203096291641; -15.84391898242012; -37.23738764974147; 38.367139909892444; 92.05497170755552; 90.8498918912685],2031117.0660065706
F12014,one_point,roulette,0.2,299169174,[38.53720923755273; 65.29592803072362; -24.922470569629354; -21.011064893252012; 3.963678266923125; -72.54397056210686; -36.15717294673863; 54.98712565510209; 97.54126540171052; 51.86777003167984],3412208.3514123587
F12014,one_point,roulette,0.2,3599793153,[38.56716757903442; 45.73309842410757; -81.93872989305426; 98.44137867078553; 34.04450684466454; -99.07967789065685; -22.040764652862848; -11.606190367064428; 59.54720371385599; 32.688109892976314],5442973.0417621955
F12014,one_point,roulette,0.2,2490565809,[39.548517839069774; 46.80236067245619; -91.24431770970025; 55.340011926502825; 6.011090355780851; -33.16891378849385; 8.031923136718632; -32.87618444356957; 52.81063605438692; 79.27099003376819],4925003.99691972
F12014,one_point,roulette,0.2,792544877,[33.85401192139898; 69.17660478043192; -68.14898764477334; 97.34319714964383; 95.66918388976353; -99.83399536091306; 48.26709289427302; -6.494995263632703; 68.14193092815364; 29.650546616762995],1880955.392762874
F12014,one_point,roulette,0.2,3583417467,[43.6597931542895; 39.292383064207485; -30.926577258323192; 70.40910765729015; -38.92530849569451; -88.61822319622361; -73.89180249008578; 33.94029598106755; 91.63738757951859; 49.8386191452764],2158716.4106996106
